day,protein_grams,workout_volume_kg,sleep_hours,weight_kg
1,150,4500,7.5,75.2
2,160,4800,8.0,75.3
3,140,0,6.5,75.3
4,155,5100,8.0,75.5
5,165,5300,8.2,75.6
6,170,5500,8.0,75.7
7,145,0,7.8,75.6
8,170,5700,8.3,75.8
9,175,5900,8.1,75.9
10,165,6100,7.9,76.0
11,150,0,8.4,75.9
12,180,6300,8.5,76.1
13,175,6500,8.2,76.2
14,185,6700,8.3,76.3
15,155,0,8.0,76.2
16,185,6900,8.4,76.4
17,190,7100,8.5,76.5
18,180,7300,8.1,76.6
19,160,0,8.2,76.5
20,190,7500,8.6,76.7
21,195,7700,8.3,76.8
22,185,7900,8.0,76.9
23,165,0,8.4,76.8
24,195,8100,8.5,77.0
25,200,8300,8.6,77.1
26,190,8500,8.2,77.2
27,170,0,8.3,77.1
28,200,8700,8.7,77.3
29,205,8900,8.5,77.4
30,195,9100,8.4,77.5
